country.name,2010,2011,2012,2013,2014,2015,2016
Algeria,1,0,0,0,0,0,0
Angola,8114,6909,5736,7300,5714,7832,15997
Benin,964,1753,2261,2288,1869,1416,1646
Botswana,8,8,3,7,22,5,3
Burkina Faso,9024,7001,7963,6294,5632,5379,3974
Burundi,2677,2233,2263,3411,2974,3799,5853
Cabo Verde,1,1,0,0,2,0,1
Cameroon,4536,3808,3209,4349,4398,3440,2639
Central African Republic,526,858,1442,1026,635,1763,2668
Chad,886,1220,1359,1881,1720,1572,1686
Comoros,53,19,17,15,0,1,0
Congo,-,892,623,2870,271,435,733
C?te d'Ivoire,1023,1389,1534,3261,4069,2604,3340
Democratic Republic of the Congo,23476,23748,21601,30918,25502,39054,33997
Equatorial Guinea,30,52,77,66,-,28,109
Eritrea,27,12,30,6,15,12,21
Ethiopia,1581,936,1621,358,213,662,510
Gabon,182,74,134,273,159,309,101
Gambia,151,440,289,262,170,167,79
Ghana,3859,3259,2855,2506,2200,2137,1264
Guinea,735,743,979,108,1067,846,867
Guinea-Bissau,296,472,370,418,357,477,191
Kenya,26017,713,785,360,472,15061,603
Liberia,1422,-,1725,1191,2288,1379,1259
Madagascar,427,398,552,641,551,841,443
Malawi,8206,6674,5516,3723,4490,3799,4000
Mali,3006,2128,1894,1680,2309,1544,1344
Mauritania,211,77,106,25,19,39,317
Mayotte,0,0,0,0,0,0,0
Mozambique,3354,3086,2818,2941,3245,2467,1685
Namibia,63,36,4,21,61,45,65
Niger,3929,2802,2825,2209,2691,2778,2226
Nigeria,4238,3353,7734,7878,6082,-,-
Rwanda,670,380,459,409,496,516,715
Sao Tome and Principe,14,19,7,11,0,0,0
Senegal,553,472,649,815,500,0,0
Sierra Leone,8188,3573,3611,4326,2848,1107,1345
South Africa,83,54,72,105,174,110,34
South Sudan1,1053,406,1321,1311,-,-,-
Swaziland,8,1,3,4,4,5,3
Togo,1507,1314,1197,1361,1205,1205,847
Uganda,8431,5958,6585,7277,5921,6100,5635
United Republic of Tanzania,15867,11806,7820,8528,5373,6313,5046
Zambia,4834,4540,3705,3548,3257,2389,1827
Zimbabwe,255,451,351,352,406,200,351
Sudan,1023,612,618,685,823,868,984
